name,type,color,price,image_url,description
Cartier Tank,watch,black,5000,https://via.placeholder.com/150,"Classic black Cartier watch"
Jaeger-LeCoultre Reverso,watch,silver,8000,https://via.placeholder.com/150,"Elegant silver watch with leather strap"
Van Cleef & Arpels Alhambra,necklace,gold,12000,https://via.placeholder.com/150,"Iconic gold Alhambra necklace"
Montblanc Meisterstück,pen,black,700,https://via.placeholder.com/150,"Luxury black fountain pen"
IWC Portugieser,watch,blue,10000,https://via.placeholder.com/150,"Blue dial Portugieser watch"
Cartier Love Ring,ring,gold,6000,https://via.placeholder.com/150,"Famous Cartier Love ring in gold"
Van Cleef & Arpels Bracelet,bracelet,silver,4000,https://via.placeholder.com/150,"Elegant silver bracelet"
Jaeger-LeCoultre Master,watch,white,9000,https://via.placeholder.com/150,"White dial Master watch"
Montblanc Pen Rouge,pen,red,https://via.placeholder.com/150,550,"Limited edition red pen"
Cartier Ballon Bleu,watch,blue,7500,https://via.placeholder.com/150,"Blue dial Ballon Bleu watch"